"x"
"1" "作者eyespot (追求內心的自在)看板Stock標題[公告] MF888 違反板規1-9-2 警告一次時間Sun Jul 22 00:02:21 2018
主旨：MF888 違反板規 1-9-2 警告一次

說明：經板主巡視看板，查MF888 發文內容，
      違反板規1-9-2，依板規處砍文處份，
      並警告一次，下次違反板規將予以水桶一週

1-9-2.有關研究生問卷調查之文，
      1.  請先站內信經板主之一認可後才可發文。
      2.  內文需說明認可板主、研究者姓名、指導教授與研究單位。
推 zakijudelo: 哈哈，上週是在比爛的，沒想到哲哲選的漲多強勢股回 07/22 11:36
→ zakijudelo: 跌也多，反而立委平常較弱的股就跌少一點 07/22 11:36
推 stlwu: 周冠軍是一位分析屍嗎 07/22 11:47
→ GoOdGaMe: 是立委 07/22 11:50
噓 Moneybank: 都是虛擬資產 07/22 11:53
噓 ESunBoy: 只有嘉偉老師真槍實彈上戰場，檔檔經典代表作，傻多笑死 07/22 11:56
推 aiur313: 空手贏九成人的概念 07/22 12:00
推 transcend789: 為啥不能棒康？ 07/22 12:03
推 alwaysalone: 致伸到底行不行，六月底某外資說目標價85結果烙賽， 07/22 12:09
推 zakijudelo: 有人就只會推一些廢話，每個月都在大崩盤，十年對稱 07/22 12:09
→ zakijudelo: 跌幅在哪啦，嘎那麼久了要不要先道歉啊 07/22 12:09
→ alwaysalone: 這禮拜又換另一家說目標價84，結果外資一直賣不說， 07/22 12:10
→ alwaysalone: 連說目標價84的自己也在賣，快笑死我 07/22 12:10
推 NSKB: 452萬，超越哲哲了XD 07/22 12:15
→ stocktonty: 這兩隻股都蠻微妙的ㄟ 07/22 12:23
推 ssaw5166: 我是投顧老師就買0050台積電跟這些人對做 07/22 12:37
推 z19890506: 那個外資的均價就8X啊,當然要寫文章來抬轎 07/22 12:39
→ bitlife: 沒想台灣的立委也這麼強 (誤) 07/22 12:51
推 sean9135: 只能多不能空的遊戲有這麼好玩？ 07/22 12:54
→ transcend789: 很好奇如果是大空頭市場 還要堅持做多嗎？ 07/22 13:38
→ GoOdGaMe: 看比賽規則怎麼寫 07/22 13:45
推 Elaine0921: 嘎偉其實上禮拜空的股都大賺 07/22 13:56
→ wrider987: 股市崩雷手？ 07/22 14:14
→ AGODC: 什麼股強勢追哪檔，高級散戶而已 07/22 14:23
→ GoOdGaMe: 有牌散戶 07/22 14:35
推 epicurious: 還股市撥雲掌、股市無影腳叻 07/22 16:46
→ epicurious: 都是股市喇叭嘴 07/22 16:46
推 mecca: 樓下股市錢坤大挪移 07/22 17:37
→ cloud701002: 政治人物不好好從政跑來炒股比賽 07/23 00:58
→ testutw: 4915從漲1.00變成跌 又被出貨了 07/23 12:02
"
"50" NA
"51" NA
"52" "作者Conector (Conector)看板Stock標題[新聞] 鴻海本周將除息 可望再為台股注資金活水時間Sun Jul 22 11:32:34 2018

1.原文連結：
https://news.cnyes.com/news/id/4170490?exp=a


2.原文內容：

鴻海 (2317-TW) 除息將於周三 (25 日) 登場，今年每股配發 2 元股息，預計共將發出
 346.57 億元現金股利。其中董事長郭台銘個人持股約 16.21 億股，預計將有 32.43 億
元現金股利落袋。

鴻海去年每股純益 8.01 元，股東會通過每股配發現金股利 2 元，配發率約 24.9%，除
息交易日 7 月 25 日，共計發放 346.57 億元現金股利預計，將於 8 月 24 日全數發放
，以董事長郭台銘個人持股 162 萬 1848 張計算，將可領到約 32.43 億元。

此外，市場推測，下半年鴻海有機會囊括 OLED 版 iPhone 新機訂單，營運動能可期。外
資也搶在除息前一周進場佈局，近 5 個交易日買超 29181 張，也為連續 6 日買超。以
目前外資鴻海持股 763 萬 4529 張計算，也約有 152.69 億元的股利進帳。

在除息後，鴻海也將現金減資 2 成，屆時每股將退還給股東現金 2 元，持續為台股注入
資金活水。

鴻海第二季受惠消費性電子產品需求拉抬，加上美元轉強，單季營收合併營收 1.08 兆元
，季增 5.2％、年增 17.78％，淡季不淡；累計上半年合併營收 2.1 兆元，年增率
 11.31％，雙雙創下同期新高。

3.心得/評論：
鴻海填息行情看漲，加上減資，上看100元
老伯伯笑了，阿土伯樂了，我錢包也滿滿。
加油鴻海。

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 150.116.107.18
※ 文章網址: https://www.ptt.cc/bbs/Stock/M.1532230357.A.FCF.html
推 xxgod: 買，都買 07/22 11:37
推 kichikuou: 相信terry活百二，相信鴻海上二百！ 07/22 11:38
推 ycjcsie: 元大台北表示樂觀 07/22 11:42
推 zakijudelo: 結果不少股是除完錢就跑走了…… 07/22 11:43
噓 moomoo91426: 大概貼息吧 07/22 11:44
推 ynd: 法會開了嗎？   阿。是法說會 07/22 11:45
推 twgov: 樓上XD 07/22 11:48
推 RuRu5566: 用減資上兩百，提早退休 07/22 11:56
推 ynd: 樓上千萬別誤會。我們公園只開法會 07/22 11:56
→ ynd: 哎呀。是樓樓上。又少打一字。 是法說會 07/22 11:57
推 dppsuck: 減資回到一百，厲害了 07/22 12:09
推 teremy: 台幣又要跌了 07/22 12:17
推 Seikan: 會貼息 塊陶阿 07/22 12:25
→ ahw: 鴻海開法說會？ 07/22 12:43
推 idmaker: 鴻海又不開法說會的... 07/22 12:49
推 gna239: 配息率有點低，難怪法人不買帳 07/22 12:55
推 pili0830: 股價8x,除息2元，有啥好期待填息的... 07/22 12:58
噓 jjjjjjs: 哥 已經  去 銀行 定存了 07/22 12:58
推 kl015013: 填息與否跟股價0相關 07/22 13:15
→ purin3333: 到底是誰規定股利一定要拿來投入市場的? 07/22 13:19
推 vanadiu: 確定 資金行情不是來放空國巨... 07/22 13:19
推 transcend789: 所以用‘可望’啊 07/22 13:37
推 usoppp: 最近轉賣為買了 有機會看到PTT反指標 07/22 14:05
推 showlay: 灌也是灌權證股，中小股沒人權 07/22 14:09
推 seuil: 貼息就囧了 07/22 14:15
推 OldGhost: 才兩塊，不用填息也是輕鬆上去 07/22 14:29
推 smallfox1215: 套在87，實在證明當初我的買進眼光就是87 07/22 14:32
→ YenPcman: 減資不是看股本？五月喊減資怎麼股本跟之前一樣？ 07/22 14:33
→ OldGhost: 因為還沒減啊== 07/22 14:56
→ Epmetheus: 慘 07/22 15:10
噓 fivemoonsky8: 120高處不勝寒 07/22 15:15
推 D0681138: 套87+1 07/22 15:28
推 Relix: 8月24才有錢活水進來吧，像台G就很聰明，錢進來那天開法說 07/22 15:37
→ Relix: ，錢又滾進來了 07/22 15:37
推 maryegg: 87+1 不過被2317套總比被妖股套的好.... 07/22 15:51
推 wyytw: 買就對了啦 07/22 15:57
推 mounter: 減資日前貌似還沒確定？ 07/22 15:59
→ mounter: 日期 07/22 15:59
推 liupenny: 87+1 07/22 16:20
推 on32: 2塊效果有限 還是要看未來 07/22 16:30
推 lionghe: 兩元...股價8x...爛股一隻 07/22 17:06
噓 keigo800004: 爛啊，越爛越噴 07/22 18:59
→ pearlQQ: 套在86 07/22 20:38
→ tenghui: 上週五剛把一批均價82.33出光光  本周三除權息後接回 07/22 21:07
推 netjedi: 鴻海的慣性是除權息完就跌 07/22 22:49
噓 Arjuju99: 才2元股息就形容資金活水？別鬧了，爛股一隻 07/22 23:39
推 herikocat: 活百二  上兩百 07/23 10:27
推 garbo: 活百二  上兩百 07/23 12:17
"
"53" NA
"54" NA
